constraint_id,s,p,o
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q246648,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q1073944,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q11394346,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q18819063,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q18921090,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q24026071,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q24055837,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q24908933,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q28822659,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q28822660,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q28822661,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q28822662,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q34848979,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q560,wdt:P1046,wd:Q216817
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q11406005,wdt:P1046,wd:Q6888
wds:P1046-3ABAAD8E-2D76-45A3-AA3C-521B8E7C0F43,wd:Q20877161,wdt:P1046,wd:Q6888
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q125133,wdt:P1196,wd:Q4
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q266816,wdt:P1196,wd:Q4
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5707138,wdt:P1196,wd:Q4
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6805151,wdt:P1196,wd:Q4
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6805151,wdt:P1196,wd:Q4
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q47926151,wdt:P1196,wd:Q4
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q168847,wdt:P1196,wd:Q39
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q238557,wdt:P1196,wd:Q58
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q9030106,wdt:P1196,wd:Q58
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2394793,wdt:P1196,wd:Q156
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q527997,wdt:P1196,wd:Q290
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q41783999,wdt:P1196,wd:Q349
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1331999,wdt:P1196,wd:Q592
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1978472,wdt:P1196,wd:Q592
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20898801,wdt:P1196,wd:Q592
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q78491,wdt:P1196,wd:Q795
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q32979496,wdt:P1196,wd:Q1985
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q203715,wdt:P1196,wd:Q2840
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6518671,wdt:P1196,wd:Q3196
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q91,wdt:P1196,wd:Q6186
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q91,wdt:P1196,wd:Q6223
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q205456,wdt:P1196,wd:Q7066
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q200661,wdt:P1196,wd:Q7246
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q9151411,wdt:P1196,wd:Q7860
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q23889270,wdt:P1196,wd:Q7935
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5942512,wdt:P1196,wd:Q8386
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q16864,wdt:P1196,wd:Q8396
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q156272,wdt:P1196,wd:Q8396
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q15567,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q75167,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q85179,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q128736,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q142582,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q186492,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q259091,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q314784,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q321108,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q438213,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q457098,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q465609,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q625966,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q779476,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q887497,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1502870,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1579396,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1759105,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1969431,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2055054,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2262600,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2267931,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2394793,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2395053,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2428042,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2548342,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2930816,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3175690,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3219154,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3288457,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3308908,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3378143,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3419189,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3435150,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3435688,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3476775,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3499253,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3524450,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3526636,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3543870,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3754664,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3754931,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q4116311,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q4503270,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5125241,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5371602,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5675949,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5753056,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5772096,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5951964,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6014936,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6300739,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q6849341,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q7680219,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q10272391,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q11195933,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q12354247,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q12357127,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q12784836,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q14726386,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q15304273,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q15909134,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q18147901,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q18818073,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q18818933,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q19301366,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q19360835,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q19630421,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20016277,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20155596,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20155600,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20871328,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20891745,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q21684758,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q21684759,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q21994609,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q22248720,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q24961118,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q25840395,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q26853766,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q27235434,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q27493744,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q28920302,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q29504171,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q29505347,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q29562096,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q29860308,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q33120364,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q39610839,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q46089713,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q47515104,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q51827254,wdt:P1196,wd:Q9687
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2295429,wdt:P1196,wd:Q10806
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q465447,wdt:P1196,wd:Q11085
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5486585,wdt:P1196,wd:Q11085
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q19646809,wdt:P1196,wd:Q11244
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1378325,wdt:P1196,wd:Q11582
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q440,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q19837,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q93678,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q134982,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q138690,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q234539,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q253192,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q317122,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q344655,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q376062,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q435686,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q440102,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q454238,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q463497,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q526468,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q712565,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q927120,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q930853,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1395866,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1530172,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1769878,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q1783666,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2628098,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2837916,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q2898000,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3089747,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3132851,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3177152,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3269109,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3302229,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3302600,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3347367,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3369161,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3455949,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3473980,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3819383,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q3890688,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5394121,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5483640,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5850650,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q5906088,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q12884253,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q16633040,wdt:P1196,wd:Q12078
wds:P1196-0B380D8D-FCE0-4DDF-BB14-F40DC95A0974,wd:Q20749010,wdt:P1196,wd:Q12078
