,S,P,O,T_c,U_c,T_d,U_d,I_c,I_d,subclasses,count_subclasses
0,wds:P36-2e0bece7-4b18-609a-f9dc-cd3f480e3cfc,pq:P2308,wd:Q6256,2017-07-05T15:49:09Z,Dhx1,2017-07-13T04:56:52Z,KrBot,2017-07-05 17:49:09+02:00,2017-07-13 06:56:52+02:00,"['wd:Q1010624' 'wd:Q112099' 'wd:Q123480' 'wd:Q1323642' 'wd:Q132453'
 'wd:Q1538989' 'wd:Q15634554' 'wd:Q160381' 'wd:Q1763527' 'wd:Q177323'
 'wd:Q3024240' 'wd:Q331644' 'wd:Q5367717']",13
1,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q56061,2017-07-13T04:57:06Z,KrBot,,,2017-07-13 06:57:06+02:00,2026-05-12 02:00:00+02:00,"['wd:Q1006002' 'wd:Q1016039' 'wd:Q1021233' 'wd:Q1043968' 'wd:Q1087624'
 'wd:Q10915529' 'wd:Q1151346' 'wd:Q1175512' 'wd:Q12378030' 'wd:Q12624958'
 'wd:Q12624959' 'wd:Q12624960' 'wd:Q12624961' 'wd:Q12778511' 'wd:Q12829'
 'wd:Q13358528' 'wd:Q13410445' 'wd:Q1367821' 'wd:Q1464870' 'wd:Q1494307'
 'wd:Q149621' 'wd:Q1499928' 'wd:Q15621274' 'wd:Q15642566' 'wd:Q15646667'
 'wd:Q1566971' 'wd:Q16323596' 'wd:Q1702612' 'wd:Q17130641' 'wd:Q171308'
 'wd:Q1764608' 'wd:Q1799794' 'wd:Q18346622' 'wd:Q20113851' 'wd:Q20257582'
 'wd:Q205723' 'wd:Q2066166' 'wd:Q20724789' 'wd:Q213204' 'wd:Q2135479'
 'wd:Q21694612' 'wd:Q22085013' 'wd:Q224952' 'wd:Q2250551' 'wd:Q2269077'
 'wd:Q2271714' 'wd:Q23012917' 'wd:Q2311958' 'wd:Q23795302' 'wd:Q2383962'
 'wd:Q2389950' 'wd:Q23928299' 'wd:Q2401504' 'wd:Q2419953' 'wd:Q253326'
 'wd:Q253836' 'wd:Q254978' 'wd:Q25513935' 'wd:Q2576151' 'wd:Q2668525'
 'wd:Q26846540' 'wd:Q26934845' 'wd:Q27057535' 'wd:Q27062253' 'wd:Q2738486'
 'wd:Q28538876' 'wd:Q28575' 'wd:Q29033733' 'wd:Q2905362' 'wd:Q2980116'
 'wd:Q313354' 'wd:Q315023' 'wd:Q3272661' 'wd:Q3342347' 'wd:Q3388233'
 'wd:Q3397866' 'wd:Q3491994' 'wd:Q3857897' 'wd:Q399445' 'wd:Q4120211'
 'wd:Q4164108' 'wd:Q41691' 'wd:Q42132' 'wd:Q4439316' 'wd:Q4891503'
 'wd:Q4996207' 'wd:Q5036885' 'wd:Q5097010' 'wd:Q5124670' 'wd:Q5154611'
 'wd:Q515716' 'wd:Q5195043' 'wd:Q5214867' 'wd:Q5312628' 'wd:Q5422193'
 'wd:Q5509522' 'wd:Q5611009' 'wd:Q5639312' 'wd:Q572975' 'wd:Q5891007'
 'wd:Q589596' 'wd:Q5982983' 'wd:Q6073798' 'wd:Q607608' 'wd:Q629870'
 'wd:Q636965' 'wd:Q637304' 'wd:Q643589' 'wd:Q6448366' 'wd:Q6489550'
 'wd:Q662296' 'wd:Q672085' 'wd:Q691899' 'wd:Q7224133' 'wd:Q7225125'
 'wd:Q7318016' 'wd:Q744443' 'wd:Q7695' 'wd:Q817477' 'wd:Q831180'
 'wd:Q943429' 'wd:Q956495']",122
2,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q486972,2017-07-13T04:57:07Z,KrBot,,,2017-07-13 06:57:07+02:00,2026-05-12 02:00:00+02:00,"['wd:Q1074523' 'wd:Q11072728' 'wd:Q1130491' 'wd:Q1134686' 'wd:Q1175522'
 'wd:Q12116124' 'wd:Q12134916' 'wd:Q1294703' 'wd:Q1339474' 'wd:Q1348006'
 'wd:Q13583718' 'wd:Q1372205' 'wd:Q1394476' 'wd:Q14601169' 'wd:Q1501046'
 'wd:Q1507736' 'wd:Q1529096' 'wd:Q1568229' 'wd:Q15725677' 'wd:Q15881338'
 'wd:Q15921247' 'wd:Q161387' 'wd:Q1623243' 'wd:Q1652571' 'wd:Q16577077'
 'wd:Q16638537' 'wd:Q1669338' 'wd:Q16861372' 'wd:Q1758254' 'wd:Q18009853'
 'wd:Q18011108' 'wd:Q188509' 'wd:Q1891566' 'wd:Q1962175' 'wd:Q1963395'
 'wd:Q2012289' 'wd:Q20541692' 'wd:Q2094129' 'wd:Q2168991' 'wd:Q2180609'
 'wd:Q2191999' 'wd:Q2196159' 'wd:Q22674925' 'wd:Q2294779' 'wd:Q2334604'
 'wd:Q23498247' 'wd:Q2392703' 'wd:Q24258416' 'wd:Q2445823' 'wd:Q2519150'
 'wd:Q2523643' 'wd:Q2564609' 'wd:Q2605228' 'wd:Q27062006' 'wd:Q2752520'
 'wd:Q2774769' 'wd:Q27905703' 'wd:Q28107315' 'wd:Q28203007' 'wd:Q28517279'
 'wd:Q28942344' 'wd:Q29414133' 'wd:Q30504307' 'wd:Q30504342' 'wd:Q3172900'
 'wd:Q3257686' 'wd:Q3497366' 'wd:Q3835961' 'wd:Q39463' 'wd:Q4012861'
 'wd:Q424857' 'wd:Q4375340' 'wd:Q456075' 'wd:Q4632675' 'wd:Q4668360'
 'wd:Q498162' 'wd:Q505963' 'wd:Q509028' 'wd:Q5476644' 'wd:Q581830'
 'wd:Q582706' 'wd:Q622499' 'wd:Q627236' 'wd:Q7112842' 'wd:Q748331'
 'wd:Q7557352' 'wd:Q815324' 'wd:Q855919' 'wd:Q866623' 'wd:Q917146']",90
3,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q23442,2018-07-02T09:59:54Z,Nvrandow,,,2018-07-02 11:59:54+02:00,2026-05-12 02:00:00+02:00,"['wd:Q10549487' 'wd:Q1065592' 'wd:Q10769552' 'wd:Q1161185' 'wd:Q1205140'
 'wd:Q1209831' 'wd:Q1226252' 'wd:Q1271762' 'wd:Q1324426' 'wd:Q13691'
 'wd:Q1471571' 'wd:Q16853632' 'wd:Q17308006' 'wd:Q1973360' 'wd:Q202199'
 'wd:Q207524' 'wd:Q239687' 'wd:Q2984210' 'wd:Q52103661' 'wd:Q555937']",20
4,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q1964689,2019-01-08T15:44:21Z,Trade,2019-07-27T18:18:19Z,Trade,2019-01-08 16:44:21+01:00,2019-07-27 20:18:19+02:00,"['wd:Q1348417' 'wd:Q1394884' 'wd:Q15360307' 'wd:Q15788460' 'wd:Q15808408'
 'wd:Q15848777' 'wd:Q166376' 'wd:Q17004377' 'wd:Q17382047' 'wd:Q18381143'
 'wd:Q20053168' 'wd:Q20671864' 'wd:Q2514214' 'wd:Q264609' 'wd:Q28813'
 'wd:Q4215744' 'wd:Q4691859' 'wd:Q5088944' 'wd:Q5088947' 'wd:Q5088951'
 'wd:Q55185326' 'wd:Q627699' 'wd:Q747376' 'wd:Q7811552' 'wd:Q955945']",25
5,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q1145276,2019-07-27T18:18:19Z,Trade,,,2019-07-27 20:18:19+02:00,2026-05-12 02:00:00+02:00,['wd:Q19595246' 'wd:Q47648621' 'wd:Q65630486'],3
6,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q3327870,2020-04-13T13:31:51Z,Bouzinac,,,2020-04-13 15:31:51+02:00,2026-05-12 02:00:00+02:00,"['wd:Q1093829' 'wd:Q15127012' 'wd:Q181508' 'wd:Q19771042' 'wd:Q333458'
 'wd:Q4946305' 'wd:Q7900180']",7
7,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q82794,2020-08-23T14:21:15Z,Romaine,,,2020-08-23 16:21:15+02:00,2026-05-12 02:00:00+02:00,"['wd:Q1016247' 'wd:Q10358813' 'wd:Q10535394' 'wd:Q1059915' 'wd:Q106259'
 'wd:Q1137691' 'wd:Q1140140' 'wd:Q11484330' 'wd:Q11613371' 'wd:Q11640563'
 'wd:Q11649756' 'wd:Q1194379' 'wd:Q12017924' 'wd:Q1228650' 'wd:Q124903'
 'wd:Q128072' 'wd:Q1286914' 'wd:Q1327275' 'wd:Q1418712' 'wd:Q1418969'
 'wd:Q1433404' 'wd:Q1433633' 'wd:Q1437459' 'wd:Q1439618' 'wd:Q1477251'
 'wd:Q15066925' 'wd:Q15324' 'wd:Q1570561' 'wd:Q1585262' 'wd:Q1620908'
 'wd:Q1639168' 'wd:Q1658231' 'wd:Q1660218' 'wd:Q166620' 'wd:Q16915726'
 'wd:Q17016923' 'wd:Q1714375' 'wd:Q175185' 'wd:Q184732' 'wd:Q191086'
 'wd:Q193255' 'wd:Q1945572' 'wd:Q1970725' 'wd:Q1979014' 'wd:Q198782'
 'wd:Q199769' 'wd:Q2054962' 'wd:Q205895' 'wd:Q207520' 'wd:Q20794871'
 'wd:Q21079854' 'wd:Q2133327' 'wd:Q2138552' 'wd:Q2140699' 'wd:Q21679791'
 'wd:Q2494340' 'wd:Q25388491' 'wd:Q2782860' 'wd:Q279433' 'wd:Q2904935'
 'wd:Q3246517' 'wd:Q341842' 'wd:Q3457107' 'wd:Q3575765' 'wd:Q3622002'
 'wd:Q369639' 'wd:Q3744088' 'wd:Q375916' 'wd:Q3834994' 'wd:Q39816'
 'wd:Q399984' 'wd:Q422710' 'wd:Q4346060' 'wd:Q472577' 'wd:Q4738033'
 'wd:Q4752565' 'wd:Q4839591' 'wd:Q5144960' 'wd:Q5284036' 'wd:Q5401'
 'wd:Q54838916' 'wd:Q55135234' 'wd:Q55481003' 'wd:Q5594490' 'wd:Q56418520'
 'wd:Q57450823' 'wd:Q584101' 'wd:Q5849674' 'wd:Q5914553' 'wd:Q593682'
 'wd:Q5968940' 'wd:Q59693874' 'wd:Q61045902' 'wd:Q62008854' 'wd:Q625143'
 'wd:Q643876' 'wd:Q6470668' 'wd:Q647337' 'wd:Q6516983' 'wd:Q6533525'
 'wd:Q676050' 'wd:Q702492' 'wd:Q7189710' 'wd:Q7268308' 'wd:Q7404467'
 'wd:Q747173' 'wd:Q7631923' 'wd:Q7631958' 'wd:Q779460' 'wd:Q7839797'
 'wd:Q7925010' 'wd:Q819435' 'wd:Q855697' 'wd:Q874223' 'wd:Q931937'
 'wd:Q947362' 'wd:Q97061894']",117
8,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q1414991,2020-08-23T14:21:15Z,Romaine,,,2020-08-23 16:21:15+02:00,2026-05-12 02:00:00+02:00,['wd:Q1065118' 'wd:Q16782021' 'wd:Q2140699' 'wd:Q65770174' 'wd:Q9337566'],5
9,wds:P36-3DCE3955-2EA4-4BA7-9410-F85848F3DB5B,pq:P2308,wd:Q2775969,2021-04-05T18:54:21Z,Mith,,,2021-04-05 20:54:21+02:00,2026-05-12 02:00:00+02:00,['wd:Q17480830' 'wd:Q5446575' 'wd:Q74016895'],3
