S,P,O,T_c,U_c,T_d,U_d
wd:Q30,wdt:P31,wd:Q6256,2013-02-04T22:08:34Z,Napoleon.tan,2013-02-05T02:25:00Z,Ypnypn
wd:Q30,wdt:P31,wd:Q6256,2013-02-05T16:13:05Z,Napoleon.tan,2013-02-06T14:29:27Z,Ypnypn
wd:Q30,wdt:P31,wd:Q7270,2013-02-07T05:48:27Z,MarrickLip,2013-02-07T18:02:45Z,Ypnypn
wd:Q30,wdt:P31,wd:Q3624078,2013-02-05T02:25:00Z,Ypnypn,2016-02-24T18:37:22Z,Tfmorris1
wd:Q30,wdt:P31,wd:Q6688521,2014-06-05T18:45:23Z,Thomas11,2016-02-24T18:37:22Z,Tfmorris1
wd:Q30,wdt:P31,wd:Q160016,2015-10-10T08:03:23Z,Dhx1,2016-02-24T18:37:22Z,Tfmorris1
wd:Q30,wdt:P31,wd:Q1520223,2014-09-23T17:28:22Z,LasPo rocks,2016-02-24T18:37:22Z,Tfmorris1
wd:Q30,wdt:P31,wd:Q160016,2016-02-24T21:11:10Z,Srittau,2016-03-27T13:40:01Z,195.252.66.235
wd:Q30,wdt:P31,wd:Q6256,2013-05-24T23:40:20Z,Docu,2016-08-14T09:21:42Z,Hoodwonder
wd:Q30,wdt:P31,wd:Q49200,2016-08-14T09:21:42Z,Hoodwonder,2016-08-14T11:20:18Z,YMS
wd:Q30,wdt:P31,wd:Q160016,2016-03-27T15:33:08Z,Runner1928,2016-09-04T18:46:54Z,Ben Skála
wd:Q30,wdt:P31,wd:Q6688521,2016-02-24T21:11:10Z,Srittau,2016-09-04T18:47:09Z,Ben Skála
wd:Q30,wdt:P31,wd:Q1520223,2016-02-24T21:11:10Z,Srittau,2016-09-04T18:47:23Z,Ben Skála
wd:Q30,wdt:P31,wd:Q6688521,2016-09-04T23:58:21Z,Andreasmperu,2016-09-15T23:51:35Z,186.82.68.44
wd:Q30,wdt:P31,wd:Q14784006,2016-09-15T23:51:35Z,186.82.68.44,2016-09-15T23:53:01Z,Strakhov
wd:Q30,wdt:P31,wd:Q6688521,2016-09-15T23:53:01Z,Strakhov,2017-02-18T06:12:09Z,Amadalvarez
wd:Q30,wdt:P31,wd:Q160016,2016-09-04T23:58:21Z,Andreasmperu,2017-02-18T06:12:09Z,Amadalvarez
wd:Q30,wdt:P31,wd:Q6256,2016-08-14T11:20:18Z,YMS,2017-02-18T06:12:09Z,Amadalvarez
wd:Q30,wdt:P31,wd:Q1520223,2016-09-04T23:58:21Z,Andreasmperu,2017-02-18T06:12:09Z,Amadalvarez
wd:Q30,wdt:P31,wd:Q160016,2017-02-23T13:08:22Z,Sjoerddebruin,2018-03-11T03:25:03Z,Jklamo
wd:Q30,wdt:P31,wd:Q6688521,2017-02-23T13:08:22Z,Sjoerddebruin,2018-03-11T03:52:49Z,Jklamo
wd:Q30,wdt:P31,wd:Q56061,2018-04-14T13:22:33Z,DDupard,2018-04-14T13:42:17Z,Arbnos
wd:Q30,wdt:P31,wd:Q5,2018-11-17T05:21:54Z,Hddty,2018-11-17T05:23:32Z,Hddty
wd:Q30,wdt:P31,wd:Q95074,2018-11-17T05:22:08Z,Hddty,2018-11-17T05:23:32Z,Hddty
wd:Q30,wdt:P31,wd:Q5255892,2017-07-01T16:35:45Z,Ergo Sum,2018-12-30T10:49:47Z,Llywelyn2000
wd:Q30,wdt:P31,wd:Q43702,2017-07-01T16:36:43Z,Ergo Sum,2018-12-30T10:49:47Z,Llywelyn2000
wd:Q30,wdt:P31,wd:Q6256,2017-02-23T13:08:22Z,Sjoerddebruin,2018-12-30T10:49:47Z,Llywelyn2000
wd:Q30,wdt:P31,wd:Q1520223,2017-02-23T13:08:22Z,Sjoerddebruin,2018-12-30T10:49:47Z,Llywelyn2000
wd:Q30,wdt:P31,wd:Q25379,2020-06-04T17:17:24Z,Dzingle1,2020-06-04T22:48:02Z,SR5
wd:Q30,wdt:P31,wd:Q6256,2019-02-05T05:07:55Z,JesseW,2020-07-22T09:33:45Z,Oravrattas
wd:Q30,wdt:P31,wd:Q43702,2019-02-05T05:07:55Z,JesseW,2021-08-11T14:50:52Z,J 1982
wd:Q30,wdt:P31,wd:Q214100,2021-09-20T05:09:24Z,T70PLUS,2021-09-20T07:05:00Z,Pallor
wd:Q30,wdt:P31,wd:Q99541706,2020-11-24T19:54:50Z,Bouzinac,2022-02-10T19:33:11Z,Jura1
wd:Q30,wdt:P31,wd:Q99541706,2025-02-12T01:49:49Z,Jerimee,2025-02-12T19:09:13Z,Radim.kubacki
wd:Q30,wdt:P31,wd:Q3624078,2016-02-24T21:11:10Z,Srittau,,
wd:Q30,wdt:P31,wd:Q5255892,2019-02-05T05:07:55Z,JesseW,,
wd:Q30,wdt:P31,wd:Q1520223,2019-02-05T05:07:55Z,JesseW,,
wd:Q30,wdt:P31,wd:Q1489259,2020-01-29T03:47:14Z,Manu1400,,
wd:Q30,wdt:P31,wd:Q6256,2020-08-27T15:20:30Z,Oravrattas,,
wd:Q30,wdt:P31,wd:Q512187,2021-08-11T14:50:52Z,J 1982,,
